Model,BooleanFeatures,GroupKeywords,BooleanConstraints,FeatureAttributes,GroupCardinality,NumericConstraints,FeatureCardinality,AggregateFunctions,TypeFeatures,StringConstraints,Imports
automotive-automotive2-Knüppel2017-2_1,14010,3981,666,0,0,0,0,0,0,0,0
automotive-automotive2-Knüppel2017-2_2,17742,4677,914,0,0,0,0,0,0,0,0
automotive-automotive2-Knüppel2017-2_3,18434,4921,1300,0,0,0,0,0,0,0,0
automotive-automotive2-Knüppel2017-2_4,18616,5012,1369,0,0,0,0,0,0,0,0
business-erp_system-Pereira2016,1920,732,59044,0,0,0,0,0,0,0,0
cloud-multicloud-GonzálezRojas2019,107,51,14,0,0,0,0,0,0,0,0
database-berkeleydb-Hierons2020,117,54,282,0,0,0,0,0,0,0,0
deep_learning-cnn-architecture-Ghamizi2019-full,6867,3516,9,0,0,0,0,0,0,0,0
deep_learning-cnn-architecture-Ghamizi2019-light,3296,1561,76,0,0,0,0,0,0,0,0
e_commerce-e_agribusiness-Pereira2016,2238,453,0,0,0,0,0,0,0,0,0
finance-bank-AlHajjaji2019,176,139,4,0,0,0,0,0,0,0,0
finance-decisional-Mendonca2009,142,26,88,0,0,0,0,0,0,0,0
finance-decisionmaking-AlHajjaji2019,366,41,192,0,0,0,0,0,0,0,0
finance-FinancialServices01-Nieke2018-2018-03-26,771,227,1080,1,0,0,0,0,0,0,0
games-Tankwar-Schulze2012,144,32,0,0,0,0,0,0,0,0,0
hardware-pc-richmond-Sprey2020,364,111,12,0,0,0,0,0,0,0,0
hardware-printer-Mendonca2009,172,77,0,0,0,0,0,0,0,0,0
navigation-routefinding-Mendonca2009,103,72,2,0,0,0,0,0,0,0,0
navigation-subseacontrolsystem-Mendonca2009,145,73,13,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2002-2436,309,21,264,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2002-2437,309,21,264,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2005-4134,102,24,37,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2006-2894,138,23,76,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2006-6497,129,21,96,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2007-0008,123,23,87,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2007-0009,133,32,55,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2007-0776,121,21,89,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2007-2292,102,20,76,0,0,0,0,0,0,0,0
security-CVE-VarelaVaca2020-2007-3073,119,20,106,0,0,0,0,0,0,0,0
