Model,Features,Constraints,Configurations,Homogeneity
Busines01_2022_Burgers,49,2,1.09e10,
Busines01_2022_Desserts,21,1,405,
Busines01_2025_Burgers,12,22,84,
Busines01_2025_Desserts,17,1,297,
Busines01_2025_DrinkMix,42,6,5760,
Busines01_2025_Ingredients,60,0,59,
Busines01_2025_Pasta,19,27,960,
Busines01_2025_Pfandl,15,19,360,
Busines01_2025_Pizzas,12,16,111,
Busines01_2025_Potatoes,10,18,120,
Busines01_2025_Salads,18,8,558,
Busines01_2025_ScrambledEggs,11,29,2244,
Busines01_2025_Spirits,21,0,20,
Busines01_2025_ToastedBread,10,20,74,
Business02_2025,4,0,8,
Business02_2025_Bases,6,0,5,
Business02_2025_Dressings,15,0,14,
Business02_2025_FinalTouch,13,0,12,
Business02_2025_Ingredients,27,0,26,
Business02_2025_Marinades,7,0,6,
Business02_2025_Pokebowls,16,19,64,
Business02_2025_Proteins,16,0,15,
Business02_2025_Salad,11,16,8,
Business02_2025_Wraps,14,14,6,
Business03_2024,64,11,1.15e13,
Business04,32,2,2.01e8,
Business05_2020_Burgers,35,0,3.77e7,
Business05_2020_Salads,44,2,1.10e12,
Business05_2020_Sandwiches,37,2,3.36e8,
Business05_2023_Salads,46,3,4.40e12,
Business06,56,9,5.28e14,
Business07,38,4,1.72e10,
Business08_2022_Burger,50,2,290304,
Business08_2022_Poke,70,1,1.01e10,
Business08_2022_Salad,54,1,144144,
Business09,39,3,inf,
Business10_2025_Calzone,8,5,inf,
Business10_2025_Ingredients,27,0,26,
Business10_2025_Kebab,24,10,11520,
Business10_2025_Pizzas,7,3,inf,
Business11_2025,6,0,32,
Business11_2025_Additions,6,0,5,
Business11_2025_Bases,7,0,63,
Business11_2025_Bowl,6,3,2,
Business11_2025_Cheese,7,7,63,
Business11_2025_Dressings,25,0,1.68e7,
Business11_2025_Essentials,45,0,1.76e13,
Business11_2025_Greens,7,0,41,
Business11_2025_Other,3,0,3,
Business11_2025_Premiums,10,0,511,
Business11_2025_Proteins,8,0,127,
Business11_2025_Salad,18,15,224,
Business11_2025_Wraps,11,15,8,
