Model,BooleanFeatures,GroupKeywords,BooleanConstraints,FeatureAttributes,GroupCardinality,NumericConstraints,FeatureCardinality,AggregateFunctions,TypeFeatures,StringConstraints,Imports
aircraft_fm,13,6,0,0,0,0,0,0,0,0,0
arcade_game_pl_fm,61,32,34,0,0,0,0,0,0,0,0
car_fm,14,10,1,0,0,0,0,0,0,0,0
cfdp_library_fm,13,9,5,0,0,0,0,0,0,0,0
connector_fm,20,12,0,0,0,0,0,0,0,0,0
DELL-LAPTOP-NOTEBOOK-FM,47,16,105,0,0,0,0,0,0,0,0
fame_dbms_fm,21,15,0,0,0,0,0,0,0,0,0
model_20090801_1908323193,13,9,0,0,0,0,0,0,0,0,0
model_20091009_1552375070,37,21,6,0,0,0,0,0,0,0,0
model_20091015_449909368,10,7,1,0,0,0,0,0,0,0,0
model_20091109_376438407,22,16,0,0,0,0,0,0,0,0,0
model_20091129_1734444143,12,9,1,0,0,0,0,0,0,0,0
model_20091205_755658379,94,67,2,0,0,0,0,0,0,0,0
model_20091206_1647557456,10,6,0,0,0,0,0,0,0,0,0
model_20091210_241985787,16,12,0,0,0,0,0,0,0,0,0
model_20091210_993249741,29,22,0,0,0,0,0,0,0,0,0
model_20091219_494647199,11,9,0,0,0,0,0,0,0,0,0
model_20091225_1547989376,29,19,2,0,0,0,0,0,0,0,0
model_20100106_985255768,20,10,0,0,0,0,0,0,0,0,0
model_20100213_206550190,38,24,8,0,0,0,0,0,0,0,0
model_20100216_713947806,12,11,0,0,0,0,0,0,0,0,0
model_20100308_1032655961,15,12,2,0,0,0,0,0,0,0,0
model_20100308_1355834007,20,10,0,0,0,0,0,0,0,0,0
model_20100321_1548012375,18,17,0,0,0,0,0,0,0,0,0
model_20100322_955726153,20,17,1,0,0,0,0,0,0,0,0
model_20100324_1996898492,11,10,3,0,0,0,0,0,0,0,0
model_20100325_298677687,10,8,0,0,0,0,0,0,0,0,0
model_20100326_770562654,27,16,2,0,0,0,0,0,0,0,0
model_20100412_337845737,10,9,0,0,0,0,0,0,0,0,0
model_20100415_240595643,31,20,2,0,0,0,0,0,0,0,0
model_20100415_947132043,31,20,7,0,0,0,0,0,0,0,0
model_20100416_811483774,16,7,0,0,0,0,0,0,0,0,0
model_20100529_1010171189,22,14,0,0,0,0,0,0,0,0,0
model_20100607_746327867,20,11,0,0,0,0,0,0,0,0,0
model_20100624_2076952989,17,8,3,0,0,0,0,0,0,0,0
model_20100625_251719781,16,15,0,0,0,0,0,0,0,0,0
model_20100712_329430908,20,19,0,0,0,0,0,0,0,0,0
model_20100719_944437142,29,10,6,0,0,0,0,0,0,0,0
model_20100730_1366577700,32,31,5,0,0,0,0,0,0,0,0
model_20100805_1484639410,31,30,4,0,0,0,0,0,0,0,0
model_20100822_281357717,15,9,5,0,0,0,0,0,0,0,0
model_20100824_837146809,22,16,0,0,0,0,0,0,0,0,0
model_20100829_787258873,57,35,0,0,0,0,0,0,0,0,0
model_20100830_561967343,32,30,0,0,0,0,0,0,0,0,0
model_20100831_1378118837,35,27,0,0,0,0,0,0,0,0,0
model_20100904_226530663,38,29,0,0,0,0,0,0,0,0,0
model_20100904_330653656,10,7,0,0,0,0,0,0,0,0,0
model_20100927_1382418986,10,5,2,0,0,0,0,0,0,0,0
model_20101020_1809093990,20,19,0,0,0,0,0,0,0,0,0
model_20101024_1938793748,29,23,3,0,0,0,0,0,0,0,0
model_20101104_260803083,11,6,0,0,0,0,0,0,0,0,0
model_20101109_1698100628,15,10,0,0,0,0,0,0,0,0,0
model_20101110_1749898936,19,11,4,0,0,0,0,0,0,0,0
model_20101111_156018899,12,7,0,0,0,0,0,0,0,0,0
model_20101111_1790887308,10,9,2,0,0,0,0,0,0,0,0
model_20101112_864228137,137,136,1,0,0,0,0,0,0,0,0
model_20101115_2000504462,72,64,0,0,0,0,0,0,0,0,0
model_20101116_1022976130,34,19,0,0,0,0,0,0,0,0,0
model_20101117_1571856147,10,6,0,0,0,0,0,0,0,0,0
model_20101117_2128796258,72,43,21,0,0,0,0,0,0,0,0
model_20101119_1472596180,25,18,2,0,0,0,0,0,0,0,0
model_20101120_2091447559,20,19,0,0,0,0,0,0,0,0,0
model_20101123_920943759,15,12,0,0,0,0,0,0,0,0,0
model_20101124_661702924,15,8,3,0,0,0,0,0,0,0,0
model_20101208_1056693380,25,24,0,0,0,0,0,0,0,0,0
model_20110116_381192414,60,50,2,0,0,0,0,0,0,0,0
model_20110124_2116036381,18,13,1,0,0,0,0,0,0,0,0
model_20110127_1318390760,13,9,0,0,0,0,0,0,0,0,0
model_20110130_639381749,12,11,0,0,0,0,0,0,0,0,0
model_20110203_1382675896,14,13,0,0,0,0,0,0,0,0,0
model_20110203_2097159983,18,15,0,0,0,0,0,0,0,0,0
model_20110207_1623721536,27,22,9,0,0,0,0,0,0,0,0
model_20110207_906076676,12,7,0,0,0,0,0,0,0,0,0
model_20110214_751339643,56,34,84,0,0,0,0,0,0,0,0
model_20110216_1027109687,12,7,4,0,0,0,0,0,0,0,0
