Model,BooleanFeatures,GroupKeywords,BooleanConstraints,FeatureAttributes,GroupCardinality,NumericConstraints,FeatureCardinality,AggregateFunctions,TypeFeatures,StringConstraints,Imports
dm_mobile_phone.csv,11,3,1,0,0,0,0,0,0,0,0
automotive01,2513,1368,2833,0,0,0,0,0,0,0,0
aaed2000,1298,1275,904,0,0,0,0,0,0,0,0
adder,1285,1267,890,0,0,0,0,0,0,0,0
adderII,1289,1271,890,0,0,0,0,0,0,0,0
aeb,1226,1208,875,0,0,0,0,0,0,0,0
aim711,1277,1258,912,0,0,0,0,0,0,0,0
aki3068net,1220,1202,851,0,0,0,0,0,0,0,0
am31_sim,1178,1160,819,0,0,0,0,0,0,0,0
asb,1244,1226,851,0,0,0,0,0,0,0,0
asb2305,1255,1237,857,0,0,0,0,0,0,0,0
assabet,1279,1261,927,0,0,0,0,0,0,0,0
at91sam7sek,1309,1291,917,0,0,0,0,0,0,0,0
at91sam7xek,1332,1314,928,0,0,0,0,0,0,0,0
atlas_mips32_4kc,1229,1211,859,0,0,0,0,0,0,0,0
atlas_mips64_5kc,1222,1204,857,0,0,0,0,0,0,0,0
brutus,1234,1216,876,0,0,0,0,0,0,0,0
calm16_ceb,1186,1168,830,0,0,0,0,0,0,0,0
calm32_ceb,1186,1168,830,0,0,0,0,0,0,0,0
ceb_v850,1202,1184,843,0,0,0,0,0,0,0,0
cerf,1289,1271,935,0,0,0,0,0,0,0,0
cerfpda,1304,1286,946,0,0,0,0,0,0,0,0
cma230,1225,1207,868,0,0,0,0,0,0,0,0
cma28x,1217,1199,849,0,0,0,0,0,0,0,0
cme555,1279,1260,863,0,0,0,0,0,0,0,0
cq7708,1252,1229,858,0,0,0,0,0,0,0,0
cq7750,1281,1261,864,0,0,0,0,0,0,0,0
csb281,1246,1228,871,0,0,0,0,0,0,0,0
dreamcast,1266,1246,867,0,0,0,0,0,0,0,0
e7t,1280,1261,883,0,0,0,0,0,0,0,0
ea2468,1408,1389,956,0,0,0,0,0,0,0,0
eb40,1253,1235,890,0,0,0,0,0,0,0,0
eb40a,1254,1236,890,0,0,0,0,0,0,0,0
eb42,1247,1229,884,0,0,0,0,0,0,0,0
eb55,1283,1265,914,0,0,0,0,0,0,0,0
ebsa285,1258,1240,895,0,0,0,0,0,0,0,0
ec555,1280,1261,863,0,0,0,0,0,0,0,0
edb7xxx,1259,1241,900,0,0,0,0,0,0,0,0
edosk2674,1207,1189,841,0,0,0,0,0,0,0,0
excalibur_arm9,1247,1224,877,0,0,0,0,0,0,0,0
fads,1200,1182,829,0,0,0,0,0,0,0,0
flexanet,1278,1260,925,0,0,0,0,0,0,0,0
frv400,1251,1233,862,0,0,0,0,0,0,0,0
gps4020,1226,1208,876,0,0,0,0,0,0,0,0
grg,1254,1236,889,0,0,0,0,0,0,0,0
h8300h_sim,1195,1177,828,0,0,0,0,0,0,0,0
h8max,1215,1197,849,0,0,0,0,0,0,0,0
h8s_sim,1196,1178,828,0,0,0,0,0,0,0,0
hs7729pci,1312,1288,886,0,0,0,0,0,0,0,0
innovator,1270,1247,886,0,0,0,0,0,0,0,0
integrator_arm7,1272,1254,904,0,0,0,0,0,0,0,0
integrator_arm9,1281,1258,907,0,0,0,0,0,0,0,0
ipaq,1271,1253,921,0,0,0,0,0,0,0,0
iq80310,1271,1253,897,0,0,0,0,0,0,0,0
iq80321,1269,1251,898,0,0,0,0,0,0,0,0
ixdp425,1260,1242,886,0,0,0,0,0,0,0,0
jmr3904,1212,1194,843,0,0,0,0,0,0,0,0
jtst,1254,1236,891,0,0,0,0,0,0,0,0
