Model,Features,Constraints,Configurations,Homogeneity
security-CVE-VarelaVaca2020-2016-2221,361,339,14872,
security-CVE-VarelaVaca2020-2012-0454,156,155,30336,
systems_software-uClibc-Pett2023-2015-03-24_00-11-21,250,1438,9.05e74,
security-CVE-VarelaVaca2020-2008-1235,155,122,2728,
security-CVE-VarelaVaca2020-2013-0800,522,598,37368,
systems_software-XSEngine-Berger2013,1261,3803,1.99e379,
systems_software-BusyBox-Pett2021-2009-08-22_18-00-39,596,649,1.30e179,
security-CVE-VarelaVaca2020-2019-15317,107,92,728,
security-CVE-VarelaVaca2020-2009-3984,171,138,5404,
security-CVE-VarelaVaca2020-2015-7198,331,557,39336,
systems_software-uClibc-Pett2023-2009-09-17_09-29-59,240,1733,8.83e71,
security-CVE-VarelaVaca2020-2011-4899,111,88,3828,
systems_software-BusyBox-Pett2021-2007-09-15_13-28-30,471,504,3.05e141,
security-CVE-VarelaVaca2020-2014-1582,276,466,33184,
security-CVE-VarelaVaca2020-2017-18593,161,1,592,
systems_software-BusyBox-Pett2021-2008-01-13_18-43-50,492,525,6.39e147,
security-CVE-VarelaVaca2020-2020-8426,284,449,20560,
security-CVE-VarelaVaca2020-2013-6673,557,657,43368,
security-CVE-VarelaVaca2020-2012-4202,509,549,33592,
systems_software-BusyBox-Pett2021-2010-05-04_15-45-25,631,681,4.46e189,
systems_software-BusyBox-Pett2021-2008-03-20_16-04-36,535,569,5.62e160,
security-CVE-VarelaVaca2020-2013-3128,163,31,48640,
systems_software-BusyBox-Pett2021-2007-07-19_21-49-30,456,482,9.30e136,
security-CVE-VarelaVaca2020-2016-5260,350,881,85680,
finance-FinancialServices01-Nieke2018-2018-03-26,771,1080,2.44e34,
security-CVE-VarelaVaca2020-2012-1946,162,87,5980,
systems_software-h8300h_sim-Knüppel2017,1195,828,1.10e203,
systems_software-uClibc-Pett2023-2009-08-01_01-40-34,238,1731,2.21e71,
systems_software-soletta-Pett2023-2015-09-30_20-58-45,280,886,9.71e83,
security-CVE-VarelaVaca2020-2009-2664,122,103,3264,
security-CVE-VarelaVaca2020-2013-5604,475,578,37780,
security-CVE-VarelaVaca2020-2012-4196,503,542,33084,
systems_software-uClibc-Pett2023-2016-12-20_19-57-05,235,1231,2.76e70,
security-CVE-VarelaVaca2020-2019-16120,112,1,396,
systems_software-BusyBox-Pett2021-2009-06-18_08-20-02,585,637,6.33e175,
systems_software-BusyBox-Pett2021-2009-10-14_00-29-28,601,656,4.15e180,
security-CVE-VarelaVaca2020-2013-0235,117,95,4136,
systems_software-soletta-Pett2023-2016-05-05_23-28-36,410,1614,1.32e123,
security-CVE-VarelaVaca2020-2020-6814,886,1624,197520,
systems_software-uClibc-Pett2023-2008-10-06_08-55-23,233,1715,6.90e69,
security-CVE-VarelaVaca2020-2013-5597,475,578,37780,
systems_software-uClibc-Pett2023-2015-12-05_21-00-06,236,1107,5.52e70,
systems_software-phycore229x-Knüppel2017,1373,932,4.46e238,
systems_software-vrc4375-Berger2013,1259,3129,4.96e378,
games-Tankwar-Schulze2012,144,0,4.21e18,
security-CVE-VarelaVaca2020-2015-5532,126,1,452,
security-CVE-VarelaVaca2020-2013-2200,118,96,4180,
security-CVE-VarelaVaca2020-2014-8801,114,1,400,
security-CVE-VarelaVaca2020-2016-5264,363,883,85708,
security-CVE-VarelaVaca2020-2014-1587,600,716,47972,
systems_software-BusyBox-Pett2021-2009-10-25_04-35-22,602,657,8.30e180,
deep_learning-cnn-architecture-Ghamizi2019-full,6867,9,2.82e630,
security-CVE-VarelaVaca2020-2015-4516,318,550,38896,
