Model,Features,Constraints,Configurations,Homogeneity
Bibra2025_Ingredients,27,0,26,
Bibra2025_Bases,6,0,5,
Bibra2025_Dressings,15,0,14,
Bibra2025_Marinades,7,0,6,
Bibra2025,4,0,8,
Bibra2025_FinalTouch,13,0,12,
Bibra2025_Pokebowls,16,18,64,
Bibra2025_Proteins,16,0,15,
Bibra2025_Salad,11,15,8,
Bibra2025_Wraps,14,13,6,
FiveGuys2024,64,7,1.15e13,
Ensaladas2023,44,0,4.40e12,
PizzeriaLaTradizionale,39,3,inf,
BurgerBausatz2022,47,0,1.09e10,
IngredientsBausatz2025
BurgerBausatz2025,9,14,2,
PizzaBausatz2025,9,9,3,
PotatoesBausatz2025,7,11,3,
SaladBausatz2025,15,1,18,
LaGondolaDeYdai,56,3,5.28e14,
NamasteRincon,38,4,1.72e10,
Turkish2025_Calzone,8,5,inf,
Turkish2025_Ingredients,27,0,26,
Turkish2025_Pizzas,7,3,inf,
