Model,Features,Constraints,Configurations,Homogeneity
dm_mobile_phone.csv,11,1,127,
automotive01,2513,2833,2.47e310,
aaed2000,1298,904,3.70e228,
adder,1285,890,1.31e214,
adderII,1289,890,3.28e214,
aeb,1226,875,9.71e210,
aim711,1277,912,1.24e218,
aki3068net,1220,851,1.29e207,
am31_sim,1178,819,5.43e201,
asb,1244,851,4.10e218,
asb2305,1255,857,4.05e219,
assabet,1279,927,4.76e220,
at91sam7sek,1309,917,3.69e223,
at91sam7xek,1332,928,3.02e227,
atlas_mips32_4kc,1229,859,4.23e209,
atlas_mips64_5kc,1222,857,8.21e208,
brutus,1234,876,2.34e212,
calm16_ceb,1186,830,6.68e203,
calm32_ceb,1186,830,6.68e203,
ceb_v850,1202,843,2.24e206,
cerf,1289,935,1.50e222,
cerfpda,1304,946,6.27e223,
cma230,1225,868,4.87e210,
cma28x,1217,849,3.22e207,
cme555,1279,863,8.78e219,
cq7708,1252,858,2.54e213,
cq7750,1281,864,2.75e222,
csb281,1246,871,3.79e213,
dreamcast,1266,867,8.72e213,
e7t,1280,883,1.19e224,
ea2468,1408,956,7.86e235,
eb40,1253,890,2.43e215,
eb40a,1254,890,3.65e215,
eb42,1247,884,6.10e214,
eb55,1283,914,1.61e218,
ebsa285,1258,895,1.18e216,
ec555,1280,863,8.78e219,
edb7xxx,1259,900,9.42e217,
edosk2674,1207,841,5.40e205,
excalibur_arm9,1247,877,9.44e216,
fads,1200,829,1.15e206,
flexanet,1278,925,6.97e220,
frv400,1251,862,4.40e218,
gps4020,1226,876,1.28e212,
grg,1254,889,1.19e218,
h8300h_sim,1195,828,1.10e203,
h8max,1215,849,3.26e206,
h8s_sim,1196,828,1.10e203,
hs7729pci,1312,886,1.03e227,
innovator,1270,886,7.95e223,
integrator_arm7,1272,904,3.74e221,
integrator_arm9,1281,907,4.86e222,
ipaq,1271,921,2.87e217,
iq80310,1271,897,8.82e218,
iq80321,1269,898,7.21e218,
ixdp425,1260,886,1.33e218,
jmr3904,1212,843,1.41e207,
jtst,1254,891,3.65e215,
linux,1245,859,3.73e210,
lpcmt,1262,882,6.64e216,
m5272c3,1336,877,4.32e232,
mac7100evb,1247,867,5.75e212,
mace1,1247,867,5.75e212,
malta_mips32_4kc,1245,865,5.39e214,
malta_mips64_5kc,1245,865,5.23e214,
mb93091,1263,876,1.88e220,
mb93093,1243,859,4.43e217,
mbx,1308,889,8.26e222,
mcb2100,1262,882,1.46e216,
moab,1291,917,2.80e219,
mpc50,1226,863,3.32e212,
nano,1278,911,2.56e219,
npwr,1271,898,8.82e218,
ocelot,1279,872,1.09e224,
olpce2294,1287,904,7.77e219,
olpch2294,1274,890,6.64e217,
olpcl2294,1286,902,4.18e219,
p2106,1262,882,6.64e216,
pati,1261,866,1.68e214,
pc_i82544,1272,885,1.61e216,
pc_i82559,1272,885,1.61e216,
pc_rltk8139,1270,886,5.33e215,
pc_usb_d12,1294,910,7.21e221,
pc_vmWare,1268,884,4.97e214,
phycore,1287,892,2.09e225,
phycore229x,1373,932,4.46e238,
picasso,1261,899,1.49e217,
pid,1242,891,6.51e214,
prpmc1100,1236,875,7.24e214,
psim,1194,826,4.63e204,
rattler,1324,894,3.01e226,
ref4955,1231,862,3.59e210,
refidt334,1276,870,3.32e221,
sa1100mm,1235,878,6.02e212,
sam7ex256,1345,935,1.24e229,
se7751,1309,883,3.74e225,
se77x9,1333,911,5.12e230,
sh4_202_md,1272,885,5.17e215,
sh7708,1267,876,5.44e215,
skmb91302,1230,840,8.37e214,
sleb,1201,827,1.18e203,
smdk2410,1279,884,6.91e223,
snds,1231,872,5.86e212,
sparclite_sim,1181,816,4.94e200,
sparc_erc32,1181,816,4.94e200,
sparc_leon,1181,816,4.94e200,
stb,1265,860,2.52e219,
stdeval1,1203,844,4.58e204,
stm3210e_eval,1283,873,2.63e211,
ts1000,1310,886,6.49e222,
ts6,1253,865,8.27e212,
tx39_sim,1192,822,1.46e205,
uE250,1262,900,2.48e217,
vads,1253,865,8.27e212,
viper,1314,894,5.02e223,
vrc4373,1260,860,7.57e218,
vrc4375,1271,870,2.65e220,
XSEngine,1273,886,6.55e224,
axTLS,96,14,5.65e14,
embtoolkit,1179,323,6.93e185,
uClibc,313,56,2.23e54,
uClinux-base,380,3455,2.62e22,
uClinux-distribution,1580,197,2.86e419,
busybox_2010-05-02_14-17-07,631,681,4.46e189,
2007-05-20_17-12-43,439,463,7.10e131,
2007-06-01_14-40-03,439,463,7.10e131,
2007-07-01_14-53-06,454,480,2.33e136,
2007-08-01_23-30-54,459,486,7.44e137,
2007-09-02_14-51-54,469,501,7.62e140,
2007-10-01_09-59-01,472,505,6.10e141,
2007-11-02_23-31-10,475,511,4.88e142,
2007-12-02_01-43-18,482,515,6.24e144,
2008-01-02_19-55-04,487,521,2.00e146,
2008-02-01_01-41-57,493,525,1.28e148,
2008-03-01_09-35-39,546,582,1.15e164,
2008-04-01_14-47-57,535,562,5.62e160,
2008-05-02_09-19-29,537,566,2.25e161,
2008-06-01_10-10-22,543,586,1.44e163,
2008-07-01_01-57-36,550,593,1.84e165,
2008-08-01_02-15-05,557,612,2.36e167,
2008-09-01_15-23-04,546,601,1.15e164,
2008-10-02_13-30-31,556,576,1.18e167,
2008-11-01_00-10-51,561,581,3.77e168,
2008-12-01_12-36-41,572,597,7.73e171,
2009-01-01_17-52-09,572,597,7.73e171,
2009-02-01_00-40-45,575,613,6.18e172,
2009-03-01_04-50-18,574,615,3.09e172,
2009-04-01_11-24-04,575,615,6.18e172,
2009-05-01_03-00-04,580,620,1.98e174,
2009-06-01_11-26-30,583,629,1.58e175,
2009-07-02_12-04-50,585,637,6.33e175,
2009-08-01_06-53-03,594,648,3.24e178,
2009-09-02_11-49-25,596,649,1.30e179,
2009-10-02_01-10-32,599,652,1.04e180,
2009-11-01_04-01-30,602,657,8.30e180,
2009-12-01_02-32-01,608,667,5.31e182,
2010-01-01_16-45-43,608,667,5.31e182,
2010-02-01_04-55-30,619,679,1.09e186,
2010-03-02_15-02-45,622,681,8.70e186,
2010-04-01_15-09-44,628,691,5.57e188,
2010-05-02_14-17-07,631,681,4.46e189,
linux-2.6.33.3,6467,3545,3.90e1672,
chat_system,10,2,56,
ovm_MPPL.ovm,10,1,59,
ovm_OnlineShop.ovm,14,4,256,
ovm_RFW.ovm,37,11,1.00e7,
dm_ASEJ1.csv,109,96,6463,
dm_DissModel.csv,116,0,130895,
dm_DOPLERTools.csv,50,15,2.97e11,
aircraft_fm,13,0,315,
arcade_game_pl_fm,61,34,1.61e11,
car_fm,14,1,160,
cfdp_library_fm,13,5,624,
connector_fm,20,0,18,
DELL-LAPTOP-NOTEBOOK-FM,47,105,252000,
fame_dbms_fm,21,0,320,
model_20090801_1908323193,13,0,624,
model_20091009_1552375070,37,6,9.07e6,
model_20091015_449909368,10,1,16,
model_20091109_376438407,22,0,1612,
model_20091129_1734444143,12,1,96,
model_20091205_755658379,94,2,4.13e7,
model_20091206_1647557456,10,0,135,
model_20091210_241985787,16,0,3645,
model_20091210_993249741,29,0,43008,
model_20091219_494647199,11,0,16,
model_20091225_1547989376,29,2,393216,
model_20100106_985255768,20,0,32,
model_20100213_206550190,38,8,11520,
model_20100216_713947806,12,0,8,
model_20100308_1032655961,15,2,90,
model_20100308_1355834007,20,0,4800,
model_20100321_1548012375,18,0,16384,
model_20100322_955726153,20,1,216,
model_20100324_1996898492,11,3,32,
model_20100325_298677687,10,0,48,
model_20100326_770562654,27,2,2400,
model_20100412_337845737,10,0,1,
model_20100415_240595643,31,2,491520,
model_20100415_947132043,31,7,737280,
model_20100416_811483774,16,0,28,
model_20100529_1010171189,22,0,1152,
model_20100607_746327867,20,0,448,
model_20100624_2076952989,17,3,756,
model_20100625_251719781,16,0,3150,
model_20100712_329430908,20,0,640,
model_20100719_944437142,29,6,81280,
model_20100730_1366577700,32,5,3.36e7,
model_20100805_1484639410,31,4,18432,
model_20100822_281357717,15,5,216,
model_20100824_837146809,22,0,1216,
model_20100829_787258873,57,0,8.78e9,
model_20100830_561967343,32,0,48,
model_20100831_1378118837,35,0,1152,
model_20100904_226530663,38,0,903168,
model_20100904_330653656,10,0,12,
model_20100927_1382418986,10,2,31,
model_20101020_1809093990,20,0,2,
model_20101024_1938793748,29,3,2.25e6,
model_20101104_260803083,11,0,32,
model_20101109_1698100628,15,0,1512,
model_20101110_1749898936,19,4,72,
model_20101111_156018899,12,0,48,
model_20101111_1790887308,10,2,80,
model_20101112_864228137,137,1,1.57e23,
model_20101115_2000504462,72,0,2.27e10,
model_20101116_1022976130,34,0,2.75e6,
model_20101117_1571856147,10,0,24,
model_20101117_2128796258,72,21,1.03e10,
model_20101119_1472596180,25,2,12096,
model_20101120_2091447559,20,0,4,
model_20101123_920943759,15,0,44,
model_20101124_661702924,15,3,96,
model_20101208_1056693380,25,0,2,
model_20110116_381192414,60,2,3.87e9,
model_20110124_2116036381,18,1,124,
model_20110127_1318390760,13,0,24,
model_20110130_639381749,12,0,64,
model_20110203_1382675896,14,0,64,
model_20110203_2097159983,18,0,896,
model_20110207_1623721536,27,9,256,
model_20110207_906076676,12,0,9,
model_20110214_751339643,56,84,2.36e7,
model_20110216_1027109687,12,4,512,
model_20110216_608697455,14,4,1792,
model_20110222_2078967171,48,5,6.92e8,
model_20110301_216655728,10,0,2,
model_20110306_314567479,14,0,248,
model_20110310_1849309646,23,0,810,
model_20110318_225131257,15,4,16,
model_20110323_789959080,15,0,120,
model_20110328_1177934440,18,3,16,
model_20110329_10104623,41,5,7.18e6,
model_20110330_919429247,25,2,14112,
model_20110401_868452735,14,0,72,
model_20110406_1047532859,29,3,516096,
model_20110406_353034837,40,0,1.04e8,
model_20110406_656545830,17,0,96,
model_20110407_1283128166,51,1,6.36e8,
model_20110428_1131293346,13,0,12,
model_20110428_553405269,37,4,2048,
model_20110507_674768061,40,17,4.57e6,
model_20110516_1331478109,88,59,4.11e21,
model_20110519_1142211980,14,0,30,
model_20110519_503436691,11,0,35,
model_20110525_1619420630,45,5,120960,
model_20110525_564104612,27,6,39424,
model_20110525_928187171,14,0,16,
model_20110527_1847306763,63,46,4.50e11,
model_20110601_1103941862,12,2,20,
model_20110605_1465859222,17,0,112,
model_20110622_260389190,12,0,28,
model_20110704_328391695,172,0,1.14e27,
model_20110704_555218409,11,0,2,
model_20110712_1373520081,66,2,829440,
model_20110715_945252556,32,0,1.26e8,
model_20110718_866950306,20,0,60,
model_20110722_419227445,25,0,256,
model_20110725_452580960,34,0,181,
model_20110809_1799855518,25,0,1620,
model_20110823_1386366267,15,1,68,
model_20110823_553386338,21,0,128,
model_20110826_1180494500,24,0,16,
model_20110826_1555954181,24,0,16,
model_20110826_1574631601,52,4,1.05e6,
model_20110826_1744501275,24,0,16,
model_20110826_252647654,24,0,16,
model_20110826_819334011,24,0,16,
model_20110915_1159959623,10,2,24,
model_20110919_127780100,37,6,42714,
model_20110925_62365838,23,0,336,
model_20110926_400852996,36,1,18,
model_20110926_608554224,30,2,24,
model_20111020_455520177,11,0,120,
model_20111025_1408959776,13,0,63,
model_20111027_1380540076,10,0,20,
model_20111027_668940289,29,4,120,
model_20111027_966072474,10,0,16,
model_20111029_1654942500,37,6,42714,
model_20111031_386778867,25,0,1620,
model_20111111_1026730216,37,0,1296,
model_20111129_1932950448,13,0,96,
model_20111130_1614470655,77,0,1.81e10,
model_20111201_1252018702,61,2,7.55e8,
model_20111201_372659565,61,0,7.55e8,
model_20111214_733452875,15,0,4,
model_20111220_1184087779,15,1,48,
